------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
NREL 5.0 MW offshore baseline aerodynamic blade input properties; note that we need to add the aerodynamic center to this file
======  Blade Properties =================================================================
         63   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
   (m)           (m)            (m)            (deg)         (deg)           (m)              (-)

0    0    0    0    13.308    3.542    1
0.991933871    -0.0005917472702    -0.002501706866    0    13.308    3.542    1
1.983867742    -0.006239943168    -0.02638036406    0    13.308    3.612448299    1
2.975801613    -0.0149585939    -0.06323986322    0    13.308    3.725675302    1
3.967735484    -0.02367724464    -0.1000993624    0    13.308    3.838902305    1
4.959669355    -0.03573138368    -0.1510601739    0    13.308    3.952443825    1
5.951603226    -0.04829870461    -0.2041905444    0    13.308    4.066033736    2
6.943537097    -0.06107039033    -0.2581849    0    13.308    4.179583039    2
7.935470968    -0.07547662361    -0.31908957    0    13.308    4.292807556    2
8.927404839    -0.0898828569    -0.37999424    0    13.308    4.406032074    3
9.91933871    -0.1042890902    -0.44089891    0    13.308    4.519256592    3
10.91127258    -0.1101626925    -0.4787276585    0    13.0131692    4.57232217    3
11.90320645    -0.1117696569    -0.5050175738    0    12.57091186    4.595306003    3
12.89514032    -0.1133766212    -0.5313074891    0    12.12865451    4.618289837    4
13.88707419    -0.1149835855    -0.5575974044    0    11.68639716    4.64127367    4
14.87900806    -0.1134863097    -0.5671108638    0    11.30994326    4.626968887    4
15.87094194    -0.1092725672    -0.5619435367    0    10.99107281    4.580033479    4
16.86287581    -0.1050588246    -0.5567762096    0    10.67220236    4.533098072    4
17.85480968    -0.100845082    -0.5516088825    0    10.35333191    4.486162664    4
18.84674355    -0.09685265351    -0.5461918973    0    10.05062151    4.437775756    4
19.83867742    -0.09319223801    -0.5404003777    0    9.772154217    4.387211322    4
20.83061129    -0.08953182251    -0.5346088581    0    9.493686928    4.336646888    5
21.82254516    -0.08587140701    -0.5288173385    0    9.215219639    4.286082454    5
22.81447903    -0.08220299308    -0.5227429592    0    8.932559389    4.233389286    5
23.8064129    -0.07851257932    -0.5158905687    0    8.638366319    4.174840994    5
24.79834677    -0.07482216557    -0.5090381782    0    8.344173249    4.116292703    6
25.79028065    -0.07113175181    -0.5021857878    0    8.049980179    4.057744411    6
26.78221452    -0.06746435183    -0.4952535546    0    7.754658449    3.998647912    6
27.77414839    -0.06394659795    -0.4878021473    0    7.451997651    3.935986724    6
28.76608226    -0.06042884407    -0.4803507401    0    7.149336852    3.873325535    6
29.75801613    -0.05691109019    -0.4728993328    0    6.846676054    3.810664347    6
30.74995    -0.05339333632    -0.4654479256    0    6.544015256    3.748003159    6
31.74188387    -0.05037059878    -0.4582836421    0    6.257805215    3.688486968    6
32.73381774    -0.04734788619    -0.4511193731    0    5.971596003    3.628970935    6
33.72575161    -0.04432517361    -0.4439551041    0    5.685386791    3.569454903    7
34.71768548    -0.04130246102    -0.4367908351    0    5.399177579    3.509938871    7
35.70961935    -0.03855599488    -0.4295616544    0    5.115064999    3.450422839    7
36.70155323    -0.03585204919    -0.4223224823    0    4.831275138    3.390906806    7
37.6934871    -0.03314810351    -0.4150833102    0    4.547485277    3.331390774    7
38.68542097    -0.03044415782    -0.4078441381    0    4.263695416    3.271874742    7
39.67735484    -0.02808871712    -0.4005516101    0    3.999419953    3.21235871    7
40.66928871    -0.02586004687    -0.3932396736    0    3.742242952    3.152842677    7
41.66122258    -0.02363137662    -0.3859277371    0    3.48506595    3.093326645    8
42.65315645    -0.02140270637    -0.3786158006    0    3.227888949    3.033810613    8
43.64509032    -0.01956313579    -0.3712674707    0    3.008013951    2.974294581    8
44.63702419    -0.01798304126    -0.3638948714    0    2.813014268    2.914778548    8
45.62895806    -0.01640294673    -0.3565222721    0    2.618014585    2.855262516    8
46.62089194    -0.01482285221    -0.3491496728    0    2.423014902    2.795746484    8
47.61282581    -0.01334808201    -0.3417651958    0    2.229482716    2.736230452    8
48.60475968    -0.01199371987    -0.3343671401    0    2.037628189    2.676714419    8
49.59669355    -0.01063935772    -0.3269690844    0    1.845773662    2.617198387    8
50.58862742    -0.009284995578    -0.3195710287    0    1.653919136    2.557682355    8
51.58056129    -0.007992339365    -0.3121668112    0    1.461855611    2.498166516    8
52.57249516    -0.006823141682    -0.3047502656    0    1.26937393    2.438651064    8
53.56442903    -0.005653944    -0.29733372    0    1.07689225    2.379135613    8
54.5563629    -0.004484746318    -0.2899171745    0    0.8844105702    2.319620161    8
55.54829677    -0.003493236208    -0.2799489709    0    0.7039881061    2.23978357    8
56.54023065    -0.002523964758    -0.2696614122    0    0.5250749248    2.157403667    8
57.53216452    -0.001618286187    -0.2567133387    0    0.3572346862    2.053748241    8
58.52409839    -0.00112629815    -0.2264578278    0    0.261427222    1.811689231    8
59.51603226    -0.0006343101134    -0.1962023169    0    0.1656197578    1.569630221    8
60.50796613    -0.00032815226    -0.1773747    0    0.106    1.419    8
61.4999    -0.00032815226    -0.1773747    0    0.106    1.419    8
